movie_title,release_year,movie_release_date,mins_into_movie,artist_name,song_title,scene_description,in_trailer,worldwide_gross,domestic_gross,foreign_gross,whatsong_movie_relevance_score,song_spotify_uri,song_apple_music_url,whatsong_contributor_user_id,whatsong_movie_id,whatsong_artist_id,whatsong_song_id,entry_id
Shrek Forever After,2010,2010-05-16,1.0,Arthur Smith,Dueling Banjos,Playing in the cemetery at the start of the movie.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:5vdJbp1aH7VLrflsExibBv,https://geo.music.apple.com/us/album/deuling-banjos/535339223?i=535339332,5.0,608,1409,1887,55859
Shrek Forever After,2010,2010-05-16,2.0,Jeremy Steig,Night Mare,"First song ""Night Mare"" by Jeremy Steig.",,752600867.0,238736787.0,513864080.0,28.439293,,,5.0,608,5575,9257,10099
Shrek Forever After,2010,2010-05-16,4.0,Carole King,You've Got a Friend,Second song. Sung by donkey.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:6NdGctoSJkQ9uyCkrn7w3v,https://geo.music.apple.com/us/album/youve-got-a-friend/id278129200?i=278129316,5.0,608,3597,9251,10097
Shrek Forever After,2010,2010-05-16,5.0,Antonio Banderas,One Love,"Sung by Puss (Banderas)
",,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:0jlFvfcJUUay0Wxu4rW809,https://geo.music.apple.com/us/album/one-love/id372087889?i=372087904,5.0,608,9361,17602,7837
Shrek Forever After,2010,2010-05-16,8.0,Scissor Sisters,Isn't It Strange,Shrek and his famiy and friends are flying on the dragon.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:3200Nazby8cbVqRcLmo36n,https://geo.music.apple.com/us/album/isnt-it-strange/372087889?i=372087896,5.0,608,2504,9252,10095
Shrek Forever After,2010,2010-05-16,19.0,Carpenters,Top of the World,After Shrek signs the contract with Rumplestilskins and spends his day terrorizing the village.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:7v6itCagc1597FmxaYoR3z,https://geo.music.apple.com/us/album/top-of-the-world/id372087889?i=372087906,5.0,608,7623,18204,7983
Shrek Forever After,2010,2010-05-16,24.0,Martin Charnin and Charles Strouse,'Tomorrow' from 'Annie',Shrek is captured when he realizes something is wrong with the contract.,,752600867.0,238736787.0,513864080.0,28.439293,,,5.0,608,4873,9253,10102
Shrek Forever After,2010,2010-05-16,26.0,Pat Benatar,Hit Me With Your Best Shot,After the witch whips Donkey,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:7bIsEIih44b4XwsyiSBA33,https://geo.music.apple.com/us/album/hit-me-with-your-best-shot/id76921427?i=76921005,5.0,608,3021,9255,55860
Shrek Forever After,2010,2010-05-16,27.0,Mike Simpson,Rumpel's Party Palace,Playing while the witches are dancing at Rumpel's castle.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:2a4V0TAOJ1p8HLTgdw0Rma,https://geo.music.apple.com/us/album/rumpels-party-palace/372087889?i=372087908,5.0,608,5574,9256,10098
Shrek Forever After,2010,2010-05-16,31.0,Light FM & Lloyd Hemmings,Click Click,"Song when Shrek flies away on the broom after escaping from the castle.
",,752600867.0,238736787.0,513864080.0,28.439293,,https://geo.music.apple.com/us/album/click-click/id372087889?i=372087910,5.0,608,9526,18290,10731
Shrek Forever After,2010,2010-05-16,52.0,Beastie Boys,Sure Shot,The pied piper makes the witches dance to his flute.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:1WrcUjLuMg6j1ap3vOHt6C,http://geo.music.apple.com/us/album/sure-shot/id16581147?i=16580783,5.0,608,452,12864,10106
Shrek Forever After,2010,2010-05-16,53.0,The Guess Who,These Eyes,Donkey is performing his eye tricks for the Ogres.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:4D9cwfQ6nE28drKqlmVf1V,https://geo.music.apple.com/us/album/these-eyes/id258602681?i=258602723,5.0,608,189,4164,10105
Shrek Forever After,2010,2010-05-16,55.0,Landon Pigg and Lucy Schwartz,Darling I Do,Shrek and Fiona practice fighting/sparring together.,,752600867.0,238736787.0,513864080.0,28.439293,,https://geo.music.apple.com/us/album/darling-i-do/id372087889?i=372087916,5.0,608,5576,9259,10104
Shrek Forever After,2010,2010-05-16,74.0,Lionel Richie,Hello,Donkey tries to woo the dragon.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:7BwzxewO51uEBAPxqcNFII,https://geo.music.apple.com/us/album/hello/id2872246?i=2872181,5.0,608,2160,4440,10107
Shrek Forever After,2010,2010-05-16,81.0,Weezer,I'm a Believer,"Last song at end of movie. First song during end credits.
",,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:0DWuuG2T4j4CdX03Ovwo0p,https://geo.music.apple.com/us/album/im-a-believer/id372087889?i=372087939,5.0,608,275,19296,4492
Shrek Forever After,2010,2010-05-16,82.0,Stevie Wonder,For Once In My Life,"2nd song in the end credits.
",,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:4kP69y3GKHi9tXckfgp4bK,https://geo.music.apple.com/us/album/for-once-in-my-life/id933020048?i=933020052,5.0,608,205,56153,9294
Shrek Forever After,2010,2010-05-16,84.0,Maxine Nightingale,Right Back Where We Started From,3rd song in end credits.,,752600867.0,238736787.0,513864080.0,28.439293,spotify:track:6208B8Utmd2fTqgGMjeNr6,https://geo.music.apple.com/us/album/right-back-where-we-started/id142004098?i=142004505,46424.0,608,2052,73617,10112
Shrek Forever After,2010,2010-05-16,147.0,Dino Fekaris and Freddie Perren ,Shake Your Groove Thing,Shrek and Fiona sparring together.,,752600867.0,238736787.0,513864080.0,28.439293,,,5.0,608,9469,18050,11003
Tangled,2010,2010-11-24,1.0,Donna Murphy & Delaney Stein,Prologue,"First song as the Mother Gothel sings to the golden flower. Gothel steals Rapunzel as a child.
",,591794936.0,200821936.0,390973000.0,15.579276,,https://geo.music.apple.com/us/album/prologue/402057913?i=402057942,5.0,740,7772,13094,13627
Tangled,2010,2010-11-24,5.0,Mandy Moore,When Will My Life Begin,Rapunzel sings in the morning as she cleans her tower with Pascal her chameleon.,,591794936.0,200821936.0,390973000.0,15.579276,spotify:track:03xWMkKEbeO4SnylA53ipj,https://geo.music.apple.com/us/album/when-will-my-life-begin/402057913?i=402057920,5.0,740,2551,11138,11950
Tangled,2010,2010-11-24,12.0,Donna Murphy,"Mother Knows Best - From ""Tangled""/Soundtrack Version",Rapunzel's mother sings her this song after Rapunzel asks to leave her tower to see the stars.,,591794936.0,200821936.0,390973000.0,15.579276,spotify:track:1lOSxJNCLvWm2bYaTcTSmK,https://geo.music.apple.com/us/album/mother-knows-best/402057913?i=402057924,5.0,740,6485,11141,11953
