__typename,id,song_id,episode_id,scene_description,time_description,played_count,user_scene_id,user_time_id,user_song_id,ts_id,ts_link,ts_thumbnail,song___typename,song_name,song_artist_id,song_artist_name,song_artist_slug,song_previewUrl,song_spotifyImg300,song_spotifyImg64,song_spotifyUri,song_appleMusicUrl,song_appleMusicPreviewUrl,song_youtube_id,song_about,song_releaseYear,song_contributor_user_id
SongToEpisodeType,128496.0,659289.0,162870.0,"At a local tavern, the girls run into Harry's girlfriend.   ",26.0,147.0,176961.0,176961.0,176961.0,,,,SongType,Dark Side of the Road,211946.0,Ol' Style Skratch,Ol-Style-Skratch,https://p.scdn.co/mp3-preview/b7449568af8eaae40ad75a5cdf6ac93ea97b4c05?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e0221ec3b21e8dbd00f2d9252ab,https://i.scdn.co/image/ab67616d0000485121ec3b21e8dbd00f2d9252ab,spotify:track:4ucZDtHS21fy2EZSmrAWdG,https://music.apple.com/us/album/dark-side-of-the-road/947544938?i=947544953,https://audio-ssl.itunes.apple.com/itunes-assets/Music1/v4/87/34/19/873419b2-4a8d-e59a-98a9-90971b11ea84/mzaf_1555889568078301861.plus.aac.p.m4a,InKN2D798mE,,,5.0
SongToEpisodeType,128497.0,682147.0,162870.0,Harry enters the room after donning the mask. ,33.0,190.0,176961.0,176961.0,176961.0,,,,SongType,Summer Hunting,218970.0,Anachnid,Anachnid,https://p.scdn.co/mp3-preview/f7e829af89c81fd45df067222a40aeb677ff841a?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e0262b0201814abdc83313865dd,https://i.scdn.co/image/ab67616d0000485162b0201814abdc83313865dd,spotify:track:0LuoQSfQix19Ej8xf4vNLQ,https://music.apple.com/us/album/summer-hunting/1497579001?i=1497579625,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c4/dd/9e/c4dd9e2b-427c-b231-72f5-5592f5d71722/mzaf_12041248796922920149.plus.aac.p.m4a,,,,176961.0
SongToEpisodeType,128486.0,606192.0,162567.0,This is the opening theme.,1.0,163.0,176961.0,176961.0,176961.0,,,,SongType,Bilgewater,25196.0,Brown Bird,Brown-Bird,https://p.scdn.co/mp3-preview/63565c093b6ff88ca3f28a99cc5d25f5bb16913c?cid=ec98ad7934e440b99bd358a7dbec415e,https://i.scdn.co/image/ab67616d00001e0232ead9f9574ab71037580202,https://i.scdn.co/image/ab67616d00001e0232ead9f9574ab71037580202,spotify:track:507CAAcWLHC4m6uGLK8ct1,https://music.apple.com/us/album/bilgewater/432259140?i=432259147,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/7d/24/5e/7d245ee0-16b9-2f2b-075b-0c15d5fec925/mzaf_2529030292919451016.plus.aac.p.m4a,,,,122858.0
SongToEpisodeType,128487.0,218899.0,162567.0,"When Liv walks into a pub, a woman is karaoke singing this song.",11.0,246.0,176961.0,176961.0,176961.0,,,,SongType,Don't You Forget About Me,131470.0,Paul Stone,Paul-Stone,,,,,https://geo.music.apple.com/us/album/dont-you-forget-about-me/id1191890866?i=1191890878,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview111/v4/21/ac/9e/21ac9e51-f8f8-30d5-c59e-327e63864d95/mzaf_5264607649893687213.plus.aac.p.m4a,sZEl2OEx1XI,,,43497.0
SongToEpisodeType,127983.0,681524.0,162567.0,Asta and D'arcy by the fire,23.0,500.0,178462.0,178462.0,178462.0,,,,SongType,Everything Is Free,2870.0,Gillian Welch,Gillian-Welch,https://p.scdn.co/mp3-preview/665005f803e79e417ceb8314dd9c26483748c960?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e02f1a8f598e5ef9673cb4d6981,https://i.scdn.co/image/ab67616d00004851f1a8f598e5ef9673cb4d6981,spotify:track:0H8ukN2MIW2iNvqJP1kb4O,,,,,,178462.0
SongToEpisodeType,127806.0,672186.0,162567.0,D'arcy and Asta are enjoying hot chocolate beside a fire. ,41.0,348.0,176961.0,176961.0,174390.0,,,,SongType,Lost Together,215803.0,Blue Rodeo,Blue-Rodeo,https://p.scdn.co/mp3-preview/c624bbabc0bedee55d272e8eb5994c6eca81c967?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e027db87ec9c7b68f309e71a301,https://i.scdn.co/image/ab67616d000048517db87ec9c7b68f309e71a301,spotify:track:2XjMSKtnVLqNsWTOSFeaVW,https://music.apple.com/us/album/lost-together/567061495?i=567061504,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d4/02/0f/d4020fac-511a-9bbc-0790-4b599f91d41d/mzaf_7659518250939079800.plus.aac.p.m4a,,,,5.0
SongToEpisodeType,128479.0,670591.0,161876.0,This is the opening song.,1.0,211.0,176961.0,176961.0,176961.0,,,,SongType,Because I Believe In You,215186.0,Lester Norton,Lester-Norton,https://p.scdn.co/mp3-preview/6cd7121b38959ccdc10a22bfee14e386a4d0b1f4?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e02d84fb2149cc31dda17cd310c,https://i.scdn.co/image/ab67616d00004851d84fb2149cc31dda17cd310c,spotify:track:5xLqM9mLBgLXPv9XNmz9Ji,https://music.apple.com/us/album/because-i-believe-in-you/66944589?i=66944223,https://audio-ssl.itunes.apple.com/itunes-assets/Music/89/97/a3/mzm.uvrrogak.aac.p.m4a,,,,46424.0
SongToEpisodeType,128480.0,606192.0,161876.0,This is the opening theme.,1.0,139.0,176961.0,176961.0,176961.0,,,,SongType,Bilgewater,25196.0,Brown Bird,Brown-Bird,https://p.scdn.co/mp3-preview/63565c093b6ff88ca3f28a99cc5d25f5bb16913c?cid=ec98ad7934e440b99bd358a7dbec415e,https://i.scdn.co/image/ab67616d00001e0232ead9f9574ab71037580202,https://i.scdn.co/image/ab67616d00001e0232ead9f9574ab71037580202,spotify:track:507CAAcWLHC4m6uGLK8ct1,https://music.apple.com/us/album/bilgewater/432259140?i=432259147,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/7d/24/5e/7d245ee0-16b9-2f2b-075b-0c15d5fec925/mzaf_2529030292919451016.plus.aac.p.m4a,,,,122858.0
SongToEpisodeType,128481.0,658637.0,161876.0,Harry assists the female in scaling the wall.  ,14.0,225.0,176961.0,176961.0,176961.0,,,,SongType,Sock It to Me (feat. Honey LaRochelle),211761.0,Cliff Beach,Cliff-Beach,https://p.scdn.co/mp3-preview/dc1847008c045ac21de6e80f298b3917e0ec9d7d?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e02d3e39ff72a063f99970d3e8a,https://i.scdn.co/image/ab67616d00004851d3e39ff72a063f99970d3e8a,spotify:track:0nhM9JgBqZKUvctzcxhSmd,https://music.apple.com/us/album/sock-it-to-me-feat-honey-larochelle/1486115993?i=1486115994,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/2c/7b/3b/2c7b3b6b-3241-4478-4ece-b1230954d8a2/mzaf_17082953805189538534.plus.aac.p.m4a,zhuJIplXdHI,,,122858.0
SongToEpisodeType,128482.0,682141.0,161876.0,"At the diner, Asta converses with the deputy. Not to do something foolish, he tells her, or else people would perish. ",21.0,201.0,176961.0,176961.0,176961.0,,,,SongType,Special Moment,201374.0,Pierre Terrasse,Pierre-Terrasse,https://p.scdn.co/mp3-preview/5dc97437cc5298b32e1a9992055abf560aa4d288?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e02752dc7c4c699b7b2f008e7c6,https://i.scdn.co/image/ab67616d00004851752dc7c4c699b7b2f008e7c6,spotify:track:6d3Tc2gFbAOAwzOJiNOkzc,,,,,,176961.0
SongToEpisodeType,128483.0,635465.0,161876.0,Ben informs his partner he wants to sell the house as soon as he gets home.,25.0,247.0,176961.0,176961.0,176961.0,,,,SongType,If I Could Only Fly,130110.0,Blaze Foley,Blaze-Foley,https://p.scdn.co/mp3-preview/bfe75415fa47e2caa153a9ca0071eaa9ac99ea67?cid=ec98ad7934e440b99bd358a7dbec415e,https://i.scdn.co/image/ab67616d00001e02cb57c16a53bc04cf85a41226,https://i.scdn.co/image/ab67616d00001e02cb57c16a53bc04cf85a41226,spotify:track:3ajCj2432Q1WSv5QC6C31F,,,,,,171889.0
